supplier_name,region,country,function,cost,rating,average_delivery_time,number_of_escalations,year,resources
360Networks Inc.,Europe,Canada,Mobile developer,185,93,258,60,1995,5500
3DLabs Inc. Ltd.,Asia,Bermuda,Web developer,105,91,226,190,2015,7800
724 Solutions Inc.,Asia,Canada,Computer programmer,775,74,250,149,1991,3500
A B Electrolux,Asia,Sweden,software developer,440,65,289,91,2018,7200
A B SKF,Europe,Sweden,Computer network architect,690,84,258,105,1991,3400
A B Volvo,Europe,Sweden,Technical writer,615,68,225,122,2009,6100
A R T International Inc.,Europe,Canada,Accounting and finance,460,71,212,158,1997,7900
A.O. Tatneft,Europe,Russia,Data scientist,750,91,254,62,2008,5900
ABB Ltd.,Europe,Switzerland,.Net developer,530,75,228,197,2001,9000
Abbey National plc,Europe,United Kingdom,Product manager,240,83,204,61,2015,8700
Aber Diamond Ltd.,Europe,Canada,Mobile developer,70,81,290,172,2020,2400
Abitibi Consolidated Inc.,Europe,Canada,Program analyst,260,63,225,86,2007,6100
ABN Amro Holding N.V.,Europe,Netherlands,Data analyst,180,69,278,183,2020,5200
Acambis plc,Europe,United Kingdom,Software quality assurance,270,73,223,160,2013,8800
Accelio Corp.,Europe,Canada,Application developer,570,73,200,155,2021,8100
Acetex Corp.,Europe,Canada,Applications Development & Maintenance,535,74,288,156,1993,4600
Achieva Development Corp.,Europe,Canada,software developer,795,81,270,51,2016,3900
Acindar Industria Argentina de Aceros S.A.,Europe,Argentina,Product manager,455,77,200,179,1995,2600
ACLN Ltd.,Europe,Cyprus,Mobile developer,325,66,282,58,1995,5000
ACS-Tech 80 Ltd.,Europe,Israel,Full stack developer,655,76,232,158,2001,2700
ActFit.com Inc.,Europe,Canada,Software architect,215,90,223,154,2020,6600
ActivCard S.A.,Europe,France,Data analyst,770,73,246,193,1993,2300
Active Assets & Associates Inc.,Europe,Canada,Application developer,715,64,251,152,1991,7600
ADB Systems International Inc.,Europe,Canada,System engineer,605,94,245,188,2007,5600
Adecco S.A.,Europe,Switzerland,Mobile developer,725,93,248,191,2007,1600
Adrian Resources Ltd.,Europe,Canada,Network engineer,515,63,203,125,2020,1600
Advance Agro Public Co. Ltd.,Europe,Thailand,UX designer,350,80,211,189,2001,6300
"Advanced Semiconductor Engineering, Inc.",Europe,Taiwan,Software architect,505,81,210,57,1990,1200
Advantest Corp.,Europe,Japan,Finance and accounting,265,62,285,199,2017,7900
AdvantExcel.com Communications Corp.,Europe,Canada,IT coordinator,275,62,296,192,1999,3100
